hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,     classical index,     entropic index
Guepe -> Pieuvre, 18.0000000000000000, 20.0000000000000000, 24.0000000000000000, 27.7777777777777786, 44.8932216682888381, 30.9667320882631536
Pieuvre -> Renard, 20.0000000000000000, 18.0000000000000000, 26.6666666666666679, 35.0000000000000000, 65.5643649840354499, 39.9641555868689764
Renard -> Pieuvre, 18.0000000000000000, 20.0000000000000000, 24.0000000000000000, 38.8888888888888928, 66.6814033639324464, 45.5445403511840325
Pieuvre -> Vautour, 20.0000000000000000, 18.0000000000000000, 26.6666666666666679, 40.0000000000000000, 74.8628073159933081, 46.9229433299967482
Vautour -> Pieuvre, 18.0000000000000000, 20.0000000000000000, 24.0000000000000000, 44.4444444444444429, 76.5095214084628594, 53.9959749375542231
Pieuvre -> Aigle, 20.0000000000000000, 18.0000000000000000, 26.6666666666666679, 25.0000000000000000, 45.2388556123119443, 27.3810607400245871
Aigle -> Pieuvre, 18.0000000000000000, 20.0000000000000000, 24.0000000000000000, 27.7777777777777786, 44.8932216682888381, 30.9667320882631536
Pieuvre -> Tortue, 20.0000000000000000, 18.0000000000000000, 26.6666666666666679, 30.0000000000000000, 55.4689133093383404, 33.4994115824637220
Tortue -> Pieuvre, 18.0000000000000000, 20.0000000000000000, 24.0000000000000000, 33.3333333333333286, 55.8704735149489835, 37.9906082107875491
Pieuvre -> Corbeau, 20.0000000000000000, 17.0000000000000000, 26.6666666666666679, 35.0000000000000000, 67.9951161433807698, 40.0240382461953530
Corbeau -> Pieuvre, 17.0000000000000000, 20.0000000000000000, 22.6666666666666643, 41.1764705882352899, 69.9726526185894357, 49.0365932206293280
Pieuvre -> Rat, 20.0000000000000000, 16.0000000000000000, 26.6666666666666679, 35.0000000000000000, 70.3247156973285854, 40.0806601015104036
Rat -> Pieuvre, 16.0000000000000000, 20.0000000000000000, 21.3333333333333357, 43.7500000000000000, 73.3534885434957857, 53.1620810724152690
Pieuvre -> Vache, 20.0000000000000000, 16.0000000000000000, 26.6666666666666679, 35.0000000000000000, 70.3247156973285854, 40.0806601015104036
Vache -> Pieuvre, 16.0000000000000000, 20.0000000000000000, 21.3333333333333357, 43.7500000000000000, 73.3534885434957857, 53.1620810724152690
Pieuvre -> Ane, 20.0000000000000000, 15.0000000000000000, 26.6666666666666679, 15.0000000000000000, 34.0656370757506082, 16.0217519970502380
Ane -> Pieuvre, 15.0000000000000000, 20.0000000000000000, 20.0000000000000000, 20.0000000000000000, 31.1303348535931228, 22.1257572445375708
Pieuvre -> Cigale, 20.0000000000000000, 15.0000000000000000, 26.6666666666666679, 30.0000000000000000, 63.2472640234435062, 33.6692711228308070
Cigale -> Pieuvre, 15.0000000000000000, 20.0000000000000000, 20.0000000000000000, 40.0000000000000000, 65.9489357534339007, 47.5871061842303433
Pieuvre -> Porc, 20.0000000000000000, 14.0000000000000000, 26.6666666666666679, 30.0000000000000000, 65.6852629949301132, 33.7199092150638435
Porc -> Pieuvre, 14.0000000000000000, 20.0000000000000000, 18.6666666666666679, 42.8571428571428541, 69.6393098498913901, 52.0082216944352851
Pieuvre -> Fourmi, 20.0000000000000000, 13.0000000000000000, 26.6666666666666679, 10.0000000000000000, 30.3277312296635131, 10.5948377193167609
Fourmi -> Pieuvre, 13.0000000000000000, 20.0000000000000000, 17.3333333333333357, 15.3846153846153850, 25.1575055187285734, 17.0252759869995103
Pieuvre -> Mouche, 20.0000000000000000, 11.0000000000000000, 26.6666666666666679, 10.0000000000000000, 35.1115594559580941, 10.6464813850289914
Mouche -> Pieuvre, 11.0000000000000000, 20.0000000000000000, 14.6666666666666661, 18.1818181818181834, 29.1681234135743104, 20.4023449695268262
Mygale -> Poule, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 26.3157894736842088, 44.9339778454926915, 29.0739738665954377
