hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
ThGraph1 -> ProgLog1, 112.0000000000000000, 49.0000000000000000, 60.5405405405405470, 21.4285714285714270, 26.6213536262512210, 11.2351699148212680, 14.9150490760803220, 0.0000000000000000
ProgLog1 -> ThGraph1, 49.0000000000000000, 112.0000000000000000, 26.4864864864864880, 48.9795918367346910, 8.4995002191988114, 58.8802013356289250, 14.9150490760803220, 0.0000000000000000
ThGraph1 -> IHM3, 112.0000000000000000, 48.0000000000000000, 60.5405405405405470, 30.3571428571428540, 70.6259220838546750, 20.5231734751575270, 82.0296704769134520, 0.0000000000000000
IHM3 -> ThGraph1, 48.0000000000000000, 112.0000000000000000, 25.9459459459459470, 70.8333333333333430, 84.7173230072051520, 87.3218083192681580, 82.0296704769134520, 0.0000000000000000
ThGraph1 -> SD3, 112.0000000000000000, 41.0000000000000000, 60.5405405405405470, 18.7500000000000000, 34.1159284114837650, 10.2685116452714440, 22.1521124243736270, 0.0000000000000000
SD3 -> ThGraph1, 41.0000000000000000, 112.0000000000000000, 22.1621621621621650, 51.2195121951219510, 14.2028303505701320, 67.0697357159383220, 22.1521124243736270, 0.0000000000000000
ThGraph1 -> IHM2, 112.0000000000000000, 37.0000000000000000, 60.5405405405405470, 16.9642857142857150, 35.9726309776306150, 9.3720742076445873, 23.6261084675788880, 0.0000000000000000
IHM2 -> ThGraph1, 37.0000000000000000, 112.0000000000000000, 20.0000000000000000, 51.3513513513513470, 15.3440785496081470, 68.1840896776008240, 23.6261084675788880, 0.0000000000000000
ThGraph1 -> Securite1, 112.0000000000000000, 37.0000000000000000, 60.5405405405405470, 22.3214285714285730, 60.8217030763626100, 14.0438227354422270, 70.8617508411407470, 0.0000000000000000
Securite1 -> ThGraph1, 37.0000000000000000, 112.0000000000000000, 20.0000000000000000, 67.5675675675675650, 69.7934126465460170, 86.2670312264962010, 70.8617508411407470, 0.0000000000000000
ThGraph1 -> SD2, 112.0000000000000000, 32.0000000000000000, 60.5405405405405470, 18.7500000000000000, 56.7122995853424070, 11.4935115356902760, 64.4180178642272950, 0.0000000000000000
SD2 -> ThGraph1, 32.0000000000000000, 112.0000000000000000, 17.2972972972972980, 65.6250000000000000, 60.7938101575411380, 85.3754385820243730, 64.4180178642272950, 0.0000000000000000
ThGraph1 -> ProgLog3, 112.0000000000000000, 32.0000000000000000, 60.5405405405405470, 16.9642857142857150, 48.4543502330780030, 9.9772842488338682, 46.6234683990478520, 0.0000000000000000
ProgLog3 -> ThGraph1, 32.0000000000000000, 112.0000000000000000, 17.2972972972972980, 59.3750000000000000, 38.6024935157841040, 80.0444688194912710, 46.6234683990478520, 0.0000000000000000
ThGraph1 -> Projet2, 112.0000000000000000, 31.0000000000000000, 60.5405405405405470, 16.9642857142857150, 50.9602487087249760, 10.0962150606447860, 52.1394193172454830, 0.0000000000000000
Projet2 -> ThGraph1, 31.0000000000000000, 112.0000000000000000, 16.7567567567567580, 61.2903225806451600, 45.0597822077178520, 81.9798343800689220, 52.1394193172454830, 0.0000000000000000
ThGraph1 -> Compil1, 112.0000000000000000, 31.0000000000000000, 60.5405405405405470, 12.5000000000000000, 31.0738861560821530, 6.7050981981559481, 13.5555654764175420, 0.0000000000000000
Compil1 -> ThGraph1, 31.0000000000000000, 112.0000000000000000, 16.7567567567567580, 45.1612903225806410, 7.2309745984974665, 55.4128256424486520, 13.5555654764175420, 0.0000000000000000
SE2 -> ThGraph1, 16.0000000000000000, 112.0000000000000000, 8.6486486486486491, 25.0000000000000000, 1.2951638600468383, 28.9954248042637910, 3.3842764794826508, 0.0000000000000000
Reseaux2 -> ThGraph1, 7.0000000000000000, 112.0000000000000000, 3.7837837837837842, 14.2857142857142850, 2.2903727407823888, 16.5623119916186140, 5.7878620922565460, 0.0000000000000000
